m#Case_Name,Kgs,Duration,Gender,Meal,Units,c#BAC
n0,76,60,Male,Full,2.9,Under
n1,60,60,Female,Full,2.6,Under
n2,63,90,Female,Full,1.2,Under
n3,63,120,Male,Full,5.2,Under
n4,51,120,Female,Lunch,5.2,Over
n5,66,120,Male,Snack,5.2,Under
n6,84,150,Male,Lunch,15,Under
n7,82,60,Male,Full,2.6,Under
n8,82,60,Male,Full,2.4,Under
n9,71,60,Male,Snack,10,Under
n10,79,240,Male,Full,9.6,Over
n11,82,120,Male,Full,5,Under
n12,57,240,Male,Full,12.6,Over
n13,88,90,Male,Full,5.2,Under
n14,47,90,Female,None,2.6,Under
n15,63,90,Female,Full,1.3,Under
n16,84,60,Male,Lunch,16.1,Over
n17,79,90,Male,Full,10.1,Under
n18,76,60,Male,Full,2.6,Under
n19,72,30,Male,None,5.1,Under
n20,88,120,Male,Full,5.2,Under
n21,73,60,Male,Full,5.2,Under
n22,76,150,Female,Lunch,9.8,Over
n23,73,120,Male,Full,9,Under
n24,69,150,Male,Full,11.4,Over
n25,69,270,Male,Full,13.2,Over
n26,69,120,Male,Full,13.6,Over
n27,66,30,Male,None,2.6,Under
n28,69,30,Male,Full,2.6,Under
n29,79,30,Male,None,2.4,Under
n30,76,120,Male,Full,4.6,Under
n31,101,180,Male,None,16.9,Over
n32,57,180,Female,Lunch,10.4,Over
n33,63,180,Male,Lunch,16.9,Over
n34,64,330,Male,None,15.8,Over
n35,53,330,Female,Lunch,10.4,Under
n36,75,90,Male,Full,5.2,Under
n37,60,60,Female,Lunch,1.3,Under
n38,66,180,Male,Lunch,10.2,Over
n39,52,270,Male,Lunch,9.1,Over
n40,63,270,Female,Lunch,5.9,Under
n41,55,240,Female,Lunch,9.1,Over
n42,79,240,Female,Lunch,10.4,Over
n43,73,240,Male,Full,12,Over
n44,53,435,Male,None,31.2,Over
n45,63,325,Male,None,20.8,Over
n46,69,120,Male,Lunch,11,Over
n47,88,330,Male,Full,16.8,Under
n48,76,330,Male,Full,16.8,Over
n49,76,240,Male,Full,12.4,Over
n50,73,30,Male,Full,2.4,Under
n51,63,120,Male,Full,7.2,Over
n52,79,120,Male,Full,7.2,Under
n53,76,120,Male,Full,13,Over
n54,66,300,Male,None,9.6,Under
n55,48,300,Female,Snack,7.8,Over
n56,66,180,Female,Lunch,9.5,Over
n57,72,120,Male,Lunch,9.6,Over
n58,82,150,Male,Snack,7.8,Under
n59,95,240,Male,Lunch,10.2,Under
n60,80,270,Male,Lunch,9.6,Under
n61,69,180,Male,Lunch,15.6,Over
n62,66,360,Male,Lunch,14.4,Over
n63,76,120,Male,Full,7.2,Under
n64,66,90,Male,None,3,Under
n65,57,90,Female,None,3,Under
n66,82,60,Male,Full,2.9,Under
n67,85,315,Male,Snack,19.7,Over
n68,72,5,Male,Lunch,16.6,Over
n69,82,300,Male,Snack,15,Over
n70,85,120,Male,Snack,7.2,Under
n71,76,60,Male,Snack,3.6,Under
n72,101,60,Male,Snack,4.8,Under
n73,73,140,Male,Lunch,5.7,Under
n74,73,210,Male,Lunch,9,Under
n75,73,275,Male,Lunch,12.3,Over
n76,79,60,Male,Lunch,3.3,Under
n77,79,140,Male,Lunch,6.6,Under
n78,79,200,Male,Lunch,9.9,Over
n79,82,140,Male,Lunch,5.7,Under
n80,82,210,Male,Lunch,9,Under
n81,82,270,Male,Lunch,12.3,Under
n82,82,20,Male,Snack,1.65,Under
n83,82,120,Male,Snack,4.95,Under
n84,69,60,Male,Lunch,3.3,Under
n85,69,140,Male,Lunch,6.6,Over
n86,69,200,Male,Lunch,9.4,Over
n87,78,60,Male,Snack,3.3,Under
n88,76,60,Male,Snack,3.3,Under
n89,76,140,Male,Snack,6.6,Under
n90,76,200,Male,Snack,9.9,Over
n91,76,220,Male,Snack,9.9,Over
n92,76,80,Male,Snack,3.3,Under
n93,76,140,Male,Snack,6.6,Under
n94,76,200,Male,Snack,9.9,Under
n95,80,60,Male,Lunch,4.9,Under
n96,73,30,Male,Full,2.4,Under
n97,85,60,Male,Lunch,4.9,Under
n98,79,60,Male,Lunch,5.1,Under
n99,64,60,Male,Lunch,5,Under
n100,73,150,Male,Lunch,2.9,Under
n101,79,100,Male,Full,7.7,Under
n102,63,290,Male,Snack,12.2,Over
n103,51,115,Female,Full,4.32,Under
n104,50,115,Female,Lunch,3.21,Under
n105,69,115,Female,Lunch,5.2,Under
n106,69,55,Female,Lunch,2.6,Under
n107,48,150,Female,Snack,6.4,Over
n108,66,115,Female,Full,4,Under
n109,60,55,Female,Full,3,Under
n110,57,100,Male,Full,5.1,Over
n111,50,90,Female,Snack,4.9,Under
n112,50,295,Female,Full,7.5,Under
n113,88,110,Male,Full,7.3,Under
n114,85,110,Male,Full,4.3,Under
n115,50,115,Female,Full,7.3,Over
n116,50,150,Female,Lunch,4.5,Under
n117,68,170,Male,Full,7.7,Under
n118,79,245,Male,Full,12.8,Over
n119,50,220,Female,Lunch,14.6,Over
n120,85,205,Male,Lunch,12.8,Over
n121,79,185,Male,Snack,14.6,Over
n122,82,30,Male,Lunch,2.4,Under
n123,101,240,Male,Snack,17,Over
n124,73,155,Male,Full,9.8,Over
n125,79,205,Male,Full,12.2,Over
n126,76,130,Male,Full,9.8,Over
